Город,Зарплата
Киев,120721.48403485616
Краснодар,109750.85609546606
Минск,102656.31536995924
Санкт-Петербург,101389.63091216952
Москва,99635.23008689495
Екатеринбург,98744.7487464318
Пермь,90798.03992377387
Новосибирск,69696.05951417409
Самара,64237.74836340616
Казань,64164.763216291154
Нижний Новгород,64009.30157829734
Алматы,56775.74639640382
Ростов-на-Дону,56007.07214684795
Воронеж,54848.91376495361
