Год,Зарплата
2003,41302.98296484903
2004,42967.34026978204
2005,44939.20730601149
2006,41317.954098605805
2007,44449.48035799003
2008,48411.15497869061
2009,44812.28018756634
2010,44658.260170032976
2011,46569.48998024566
2012,48164.28332445591
2013,53767.056565382336
2014,49482.1657652478
2015,52361.6815425942
2016,61653.05712843398
2017,60363.92618130654
2018,65581.79437432832
2019,69938.58197005637
2020,73112.22017965975
2021,105411.35099870608
2022,92380.46214181806
2023,98685.67626922144
